Title,Artist,ConstituentID,Nationality,Gender,Date,Classification,Department,ObjectID,URL,ThumbnailURL
Console Bench,Alessandro Magris,8220,Italian,Male,1970,Design,Architecture & Design,82170,http://www.moma.org/collection/works/82170,
Console Bench,Roberto Magris,8221,Italian,Male,1970,Design,Architecture & Design,82170,http://www.moma.org/collection/works/82170,
Console Bench,Adolfo Natalini,8223,Italian,Male,1970,Design,Architecture & Design,82170,http://www.moma.org/collection/works/82170,
Low Chair,Maarten Van Severen,22596,Belgian,Male,1993,Design,Architecture & Design,82171,http://www.moma.org/collection/works/82171,http://www.moma.org/media/W1siZiIsIjIzMDE4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4d243d28c01f0f10
Vorm En Luchtfoto,Pieter Brattinga,747,Dutch,Male,1960,Design,Architecture & Design,82173,http://www.moma.org/collection/works/82173,http://www.moma.org/media/W1siZiIsIjYyMjM2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=5b0c3e0370b17fc6
Softremote,Sam Hecht,22582,British,Male,2000,Design,Architecture & Design,82174,http://www.moma.org/collection/works/82174,http://www.moma.org/media/W1siZiIsIjIzMDE1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dfbf2c3ef770a47a
Softremote,David Sandbach,22584,British,Male,2000,Design,Architecture & Design,82174,http://www.moma.org/collection/works/82174,http://www.moma.org/media/W1siZiIsIjIzMDE1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dfbf2c3ef770a47a
Softremote,Chris Chapman,22583,British,Male,2000,Design,Architecture & Design,82174,http://www.moma.org/collection/works/82174,http://www.moma.org/media/W1siZiIsIjIzMDE1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dfbf2c3ef770a47a
Soft Wrist Phone,Sam Hecht,22582,British,Male,2000,Design,Architecture & Design,82175,http://www.moma.org/collection/works/82175,http://www.moma.org/media/W1siZiIsIjIzMDE1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=de991ca540dccbe5
Soft Wrist Phone,David Sandbach,22584,British,Male,2000,Design,Architecture & Design,82175,http://www.moma.org/collection/works/82175,http://www.moma.org/media/W1siZiIsIjIzMDE1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=de991ca540dccbe5
Soft Wrist Phone,Chris Chapman,22583,British,Male,2000,Design,Architecture & Design,82175,http://www.moma.org/collection/works/82175,http://www.moma.org/media/W1siZiIsIjIzMDE1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=de991ca540dccbe5
Keyboard,Sam Hecht,22582,British,Male,2000,Design,Architecture & Design,82176,http://www.moma.org/collection/works/82176,http://www.moma.org/media/W1siZiIsIjIxMjAzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=af9847ed3be7cfff
Keyboard,David Sandbach,22584,British,Male,2000,Design,Architecture & Design,82176,http://www.moma.org/collection/works/82176,http://www.moma.org/media/W1siZiIsIjIxMjAzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=af9847ed3be7cfff
Keyboard,Chris Chapman,22583,British,Male,2000,Design,Architecture & Design,82176,http://www.moma.org/collection/works/82176,http://www.moma.org/media/W1siZiIsIjIxMjAzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=af9847ed3be7cfff
The Exwife,John Currin,8444,American,Male,2001,Drawing,Drawings & Prints,82185,http://www.moma.org/collection/works/82185,http://www.moma.org/media/W1siZiIsIjc2MjYwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=76ecec4ddd9717df
Lady on the Fence,John Currin,8444,American,Male,2001,Drawing,Drawings & Prints,82195,http://www.moma.org/collection/works/82195,http://www.moma.org/media/W1siZiIsIjYzNzM0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=adc713a4511e1de4
"Snail Pyramid – Study for Self-Contained, Self-Supporting City Dwelling – A Future Habitat",Agnes Denes,1491,American,Female,1988,Drawing,Drawings & Prints,82196,http://www.moma.org/collection/works/82196,http://www.moma.org/media/W1siZiIsIjE2MDU4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a278c5f87abf888f
Untitled (Figure/Ladder Series) XI,Betty Goodwin,8373,Canadian,Female,1996,Drawing,Drawings & Prints,82197,http://www.moma.org/collection/works/82197,http://www.moma.org/media/W1siZiIsIjM0Mjc4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4d43dd58cbed1382
"Woodland Plant, Lake George",Ellsworth Kelly,3048,American,Male,1964,Drawing,Drawings & Prints,82198,http://www.moma.org/collection/works/82198,http://www.moma.org/media/W1siZiIsIjM4Nzg3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a0eba7f2e885ed53
Untitled (Stranger in the Village/Crowd) #2,Glenn Ligon,6902,American,Male,2000,Drawing,Drawings & Prints,82199,http://www.moma.org/collection/works/82199,http://www.moma.org/media/W1siZiIsIjc3NTgwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=fbf0911d07c161ef
Cubist Landscape,Diego Rivera,4942,Mexican,Male,1912,Painting,Painting & Sculpture,82208,http://www.moma.org/collection/works/82208,http://www.moma.org/media/W1siZiIsIjE1NzAwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7b0f85006086d1f4
Untitled (Bed),Rachel Whiteread,6910,British,Female,1991,Sculpture,Painting & Sculpture,82209,http://www.moma.org/collection/works/82209,http://www.moma.org/media/W1siZiIsIjIzMDI5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=23e11f5a1d475757
"Untitled from the series ""Men in the Cities""",Robert Longo,3592,American,Male,1981,Drawing,Drawings & Prints,82214,,
Hysterical Lace,Margherita Manzelli,8445,Italian,Female,2001,Drawing,Drawings & Prints,82215,http://www.moma.org/collection/works/82215,http://www.moma.org/media/W1siZiIsIjIyNzI3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=612509a1e193ea9f
Hysterical Lace (Pizzo isterico),Margherita Manzelli,8445,Italian,Female,2001,Drawing,Drawings & Prints,82216,http://www.moma.org/collection/works/82216,http://www.moma.org/media/W1siZiIsIjIyNzI3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9e5b4bda7cd7e971
Invention of the Labyrinth,André Masson,3821,French,Male,1942,Drawing,Drawings & Prints,82217,http://www.moma.org/collection/works/82217,http://www.moma.org/media/W1siZiIsIjc1NjUwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=7ef3dbd0cc212a54
Playtime for Dung-Hills,Jockum Nordström,8452,Swedish,Male,2000,Drawing,Drawings & Prints,82219,http://www.moma.org/collection/works/82219,http://www.moma.org/media/W1siZiIsIjYzODAzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=c264fee5544e95be
